Genre,Publisher,Rank,Year,Global Sales,min(1),Name,North America Sales,% Europe,% Japan,% North America,% Other,Europe Sales,Japan Sales,Number of Video Games,Other Sales,Platform
Sports,Nintendo,685,2000,2.32,1,Mario Tennis,0.78,17%,46%,34%,3%,0.4,1.06,1,0.07,N64
Action,Take-Two Interactive,686,1997,2.32,1,Grand Theft Auto,0.79,58%,2%,34%,6%,1.35,0.04,1,0.14,PS
Shooter,Electronic Arts,687,2004,2.31,1,James Bond 007: Everything or Nothing,0.85,46%,4%,37%,14%,1.06,0.09,1,0.32,PS2
Puzzle,Nintendo,688,2004,2.31,1,WarioWare Touched!,0.52,19%,52%,23%,6%,0.45,1.21,1,0.13,DS
Racing,Electronic Arts,689,1999,2.31,1,Need For Speed: High Stakes,1.58,28%,0%,68%,4%,0.64,0,1,0.09,PS
Role-Playing,SquareSoft,690,1995,2.31,1,Chrono Trigger,0.28,0%,87%,12%,0%,0,2.02,1,0.01,SNES
Sports,989 Studios,691,1998,2.31,1,Cool Boarders 3,1.65,20%,4%,71%,4%,0.46,0.1,1,0.1,PS
Action,"Warner Bros, Interactive Entertainment",692,2013,2.3,1,LEGO Marvel Super Heroes,1.24,37%,0%,54%,9%,0.85,0,1,0.21,X360
Action,NCSoft,693,2012,2.3,1,Guild Wars 2,0.95,46%,0%,41%,13%,1.06,0,1,0.29,PC
Role-Playing,Nintendo,694,2008,2.3,1,Pokemon Ranger: Shadows of Almia,0.95,23%,27%,41%,8%,0.54,0.62,1,0.18,DS
Action,Deep Silver,695,2011,2.29,1,Dead Island,1.08,33%,7%,47%,14%,0.75,0.15,1,0.31,PS3
Action,Eidos Interactive,696,1997,2.29,1,Tomb Raider II,0.91,55%,0%,40%,6%,1.25,0,1,0.13,PC
Action,Sony Computer Entertainment,697,2013,2.29,1,God of War: Ascension,1.23,30%,2%,54%,15%,0.68,0.04,1,0.34,PS3
Racing,Electronic Arts,698,2004,2.28,1,Need for Speed Underground 2,1.38,35%,0%,61%,4%,0.8,0,1,0.1,XB
Sports,Konami Digital Entertainment,699,2009,2.28,1,Pro Evolution Soccer 2010,0.3,56%,20%,13%,11%,1.27,0.46,1,0.26,PS3
Misc,Ubisoft,700,2014,2.28,1,Just Dance 2015,1.11,43%,0%,49%,9%,0.98,0,1,0.2,Wii
Action,Level 5,701,2015,2.28,1,Yokai Watch Busters,0,0%,100%,0%,0%,0,2.28,1,0,3DS
Platform,Nintendo,702,1983,2.28,1,"Mario Bros,",0.51,5%,71%,22%,1%,0.12,1.63,1,0.02,NES
Sports,Electronic Arts,703,2008,2.28,1,FIFA Soccer 09,0.38,3%,0%,17%,80%,0.07,0.01,1,1.82,PS2
Action,LucasArts,704,2008,2.28,1,Star Wars: The Force Unleashed,1.01,39%,0%,44%,16%,0.9,0,1,0.37,PS3
Shooter,Take-Two Interactive,705,2012,2.28,1,Borderlands 2,1.05,34%,4%,46%,16%,0.77,0.1,1,0.36,PS3
Racing,Codemasters,706,1997,2.28,1,TOCA Touring Car Championship,0.07,88%,1%,3%,8%,2,0.02,1,0.18,PS
Role-Playing,Nintendo,707,2012,2.27,1,Paper Mario: Sticker Star,1.12,17%,28%,49%,5%,0.39,0.64,1,0.12,3DS
Misc,Sega,708,2009,2.27,1,Sonic's Ultimate Genesis Collection,1.34,27%,0%,59%,14%,0.62,0,1,0.31,PS3
Misc,Sega,709,2006,2.27,1,Super Monkey Ball: Banana Blitz,1.07,41%,2%,47%,11%,0.92,0.04,1,0.24,Wii
Platform,Nintendo,710,2002,2.27,1,Kirby: Nightmare in Dream Land,1.22,4%,40%,54%,2%,0.1,0.91,1,0.04,GBA
Platform,Nintendo,711,2001,2.26,1,Wario Land 4,0.9,32%,24%,40%,4%,0.73,0.54,1,0.09,GBA
Misc,Activision,712,2007,2.26,1,Guitar Hero III: Legends of Rock,1.4,24%,1%,62%,13%,0.54,0.02,1,0.3,PS3
Shooter,Activision,713,,2.26,1,Call of Duty 3,1.19,37%,0%,53%,10%,0.84,0,1,0.23,Wii
Action,Capcom,714,2007,2.26,1,Resident Evil 4,1.34,25%,6%,59%,9%,0.57,0.14,1,0.21,Wii
Misc,Sony Computer Entertainment Europe,715,2014,2.25,1,Minecraft,0.28,35%,39%,12%,14%,0.79,0.87,1,0.32,PSV
Adventure,Capcom,716,2002,2.25,1,Onimusha 2: Samurai's Destiny,0.62,20%,47%,28%,6%,0.44,1.06,1,0.13,PS2
Sports,UEP Systems,717,1997,2.25,1,Cool Boarders 2,1.52,20%,9%,68%,4%,0.46,0.2,1,0.08,PS
Role-Playing,Nintendo,718,2004,2.25,1,Paper Mario: The Thousand-Year Door,1.48,11%,20%,66%,3%,0.25,0.46,1,0.06,GC
Sports,Electronic Arts,719,2011,2.25,1,Madden NFL 12,1.93,7%,0%,86%,8%,0.15,0,1,0.17,PS3
Role-Playing,Nintendo,720,2009,2.25,1,Monster Hunter Tri,0.67,18%,47%,30%,5%,0.41,1.05,1,0.11,Wii
Fighting,Square Enix,721,2008,2.25,1,Dissidia: Final Fantasy,0.51,23%,40%,23%,14%,0.51,0.91,1,0.32,PSP
Platform,Sega,722,2001,2.24,1,Sonic Advance,1.19,32%,10%,53%,6%,0.71,0.22,1,0.13,GBA
Platform,Vivendi Games,723,2001,2.23,1,Spyro: Season of Ice,1.29,37%,0%,58%,5%,0.83,0,1,0.11,GBA
Action,Konami Digital Entertainment,724,1990,2.23,1,Teenage Mutant Ninja Turtles II: The Arcade Game,1.74,11%,9%,78%,1%,0.25,0.21,1,0.03,NES
Action,Activision,725,2008,2.23,1,LEGO Indiana Jones: The Original Adventures,1.42,27%,0%,64%,9%,0.61,0,1,0.21,DS
Simulation,Konami Digital Entertainment,726,2009,2.23,1,Dance Dance Revolution X2,1.09,38%,0%,49%,13%,0.85,0,1,0.28,PS2
Platform,Nintendo,727,2013,2.22,1,New Super Luigi U,1.27,28%,8%,57%,7%,0.62,0.18,1,0.16,WiiU
Action,Ubisoft,728,2003,2.22,1,Prince of Persia: The Sands of Time,0.88,46%,0%,40%,14%,1.03,0,1,0.31,PS2
Puzzle,"Warner Bros, Interactive Entertainment",729,2009,2.22,1,Scribblenauts,1.71,14%,1%,77%,8%,0.32,0.02,1,0.18,DS
Adventure,Nintendo,730,1998,2.22,1,The Legend of Zelda: Link's Awakening DX,1,28%,20%,45%,6%,0.63,0.45,1,0.13,GB
Racing,Electronic Arts,731,2010,2.22,1,Need for Speed: Hot Pursuit,1.03,44%,0%,46%,9%,0.98,0,1,0.21,X360
Shooter,Take-Two Interactive,732,2010,2.21,1,BioShock 2,1.45,25%,1%,66%,9%,0.55,0.02,1,0.19,X360
Action,Ubisoft,733,2013,2.21,1,Assassin's Creed IV: Black Flag,1.47,25%,0%,67%,9%,0.55,0,1,0.19,XOne
Action,Capcom,734,2006,2.21,1,Devil May Cry 3: Dante's Awakening Special Edition,1.06,37%,2%,48%,13%,0.82,0.05,1,0.28,PS2
Misc,Electronic Arts,735,2008,2.2,1,Rock Band 2,1.78,11%,0%,81%,8%,0.24,0,1,0.18,X360
Action,"Parker Bros,",736,1981,2.2,1,Frogger,2.06,5%,0%,94%,1%,0.12,0,1,0.02,2600
Misc,Activision,737,2007,2.2,1,Guitar Hero II,2.01,1%,0%,91%,8%,0.02,0,1,0.17,X360
Platform,Nintendo,738,2000,2.2,1,Wario Land 3,1.11,23%,15%,50%,10%,0.51,0.34,1,0.23,GB
Sports,Namco Bandai Games,739,1986,2.2,1,Pro Yakyuu Family Stadium,0.15,0%,93%,7%,0%,0,2.05,1,0,NES
Platform,Sega,740,2008,2.2,1,Sonic Unleashed,1.28,31%,1%,58%,10%,0.68,0.02,1,0.21,Wii
Puzzle,Disney Interactive Studios,741,2007,2.2,1,High School Musical: Makin' the Cut!,1.06,41%,0%,48%,10%,0.91,0,1,0.23,DS
Action,Konami Digital Entertainment,742,2011,2.19,1,Pro Evolution Soccer 2012,0.34,44%,25%,16%,15%,0.97,0.55,1,0.33,PS3
Action,THQ,743,2006,2.19,1,Saints Row,1.17,36%,1%,53%,10%,0.78,0.02,1,0.22,X360
Role-Playing,Activision,744,2003,2.19,1,Star Wars: Knights of the Old Republic,1.68,20%,0%,77%,4%,0.44,0,1,0.08,XB
Misc,Nintendo,745,1992,2.19,1,Kirby's Pinball Land,0.87,8%,50%,40%,2%,0.17,1.1,1,0.05,GB
Platform,Nintendo,746,2000,2.19,1,Donkey Kong Country,1.04,33%,14%,47%,6%,0.72,0.3,1,0.13,GB
Action,Square Enix,747,2012,2.19,1,Hitman: Absolution,0.59,49%,3%,27%,21%,1.07,0.07,1,0.45,PS3
Role-Playing,Konami Digital Entertainment,748,2000,2.18,1,Yu-Gi-Oh: Duel Monsters 4,0,0%,100%,0%,0%,0,2.17,1,0.01,GB
Racing,THQ,749,2002,2.18,1,ATV Offroad Fury 2,1.92,9%,0%,88%,3%,0.2,0,1,0.06,PS2
Racing,Microsoft Game Studios,750,2013,2.18,1,Forza Motorsport 5,1.21,36%,0%,56%,8%,0.78,0.01,1,0.17,XOne
Sports,Electronic Arts,751,2013,2.18,1,Madden NFL 25,1.97,3%,0%,90%,6%,0.07,0,1,0.13,X360
Role-Playing,Nintendo,752,2006,2.18,1,Pokemon Ranger,1.29,2%,33%,59%,6%,0.04,0.73,1,0.12,DS
Role-Playing,Nintendo,753,2003,2.17,1,Mario & Luigi: Superstar Saga,1.48,8%,22%,68%,3%,0.17,0.47,1,0.06,GBA
Role-Playing,Square Enix,754,2010,2.17,1,Final Fantasy XIII,1.27,31%,0%,59%,9%,0.68,0.01,1,0.2,X360
Simulation,Nintendo,755,1998,2.17,1,Star Wars: Rogue Squadron,1.6,21%,4%,74%,1%,0.46,0.08,1,0.03,N64
Sports,Nintendo,756,1984,2.17,1,Tennis,0.48,5%,72%,22%,1%,0.11,1.56,1,0.02,NES
Simulation,Electronic Arts,757,2001,2.16,1,The Sims: House Party,1.23,38%,0%,57%,5%,0.83,0,1,0.1,PC
Sports,Ubisoft,758,2009,2.16,1,Your Shape featuring Jenny McCarthy,1.51,22%,0%,70%,8%,0.47,0,1,0.18,Wii
Shooter,Sony Computer Entertainment,759,2000,2.15,1,Syphon Filter 2,1.5,26%,1%,70%,4%,0.55,0.02,1,0.08,PS
Shooter,Ubisoft,760,2015,2.15,1,Tom Clancy's Rainbow Six: Siege,0.54,54%,6%,25%,15%,1.16,0.13,1,0.32,PS4
Sports,Nintendo,761,1987,2.15,1,Volleyball,0.14,1%,92%,7%,0%,0.03,1.98,1,0,NES
Sports,Electronic Arts,762,2014,2.15,1,FIFA 15,0.6,66%,0%,28%,7%,1.41,0,1,0.14,XOne
Shooter,Activision,763,2007,2.14,1,Call of Duty: Roads to Victory,0.52,48%,0%,24%,28%,1.03,0,1,0.59,PSP
Role-Playing,Nintendo,764,1996,2.14,1,Super Mario RPG: Legend of the Seven Stars,0.66,0%,68%,31%,1%,0,1.45,1,0.03,SNES
Misc,Nintendo,765,1983,2.14,1,Mahjong,0.01,0%,100%,0%,0%,0,2.13,1,0,NES
Racing,Nintendo,766,1988,2.14,1,"R,C, Pro-Am",1.47,18%,9%,69%,5%,0.38,0.19,1,0.1,NES
Simulation,Maxis,767,1992,2.14,1,SimCity 2000,1.2,39%,0%,56%,5%,0.84,0,1,0.1,PC
Shooter,Imagic,768,1981,2.13,1,Demon Attack,1.99,6%,0%,93%,1%,0.12,0,1,0.02,2600
Simulation,Konami Digital Entertainment,769,2004,2.13,1,Dance Dance Revolution Extreme,1.04,38%,0%,49%,13%,0.81,0,1,0.27,PS2
Puzzle,Nintendo,770,2006,2.13,1,Tetris DS,0.64,3%,63%,30%,4%,0.07,1.35,1,0.08,DS
Role-Playing,SquareSoft,771,2003,2.13,1,Final Fantasy Tactics Advance,0.82,17%,42%,38%,2%,0.37,0.89,1,0.05,GBA
Action,Ubisoft,772,2016,2.13,1,Far Cry: Primal,0.59,54%,3%,28%,15%,1.16,0.06,1,0.33,PS4
Action,Disney Interactive Studios,773,2010,2.12,1,Toy Story 3: The Video Game,0.93,46%,1%,44%,10%,0.97,0.02,1,0.21,DS
Role-Playing,Square Enix,774,2006,2.12,1,Final Fantasy III,0.91,2%,50%,43%,4%,0.05,1.07,1,0.09,DS
Platform,Nintendo,775,2010,2.12,1,Kirby's Epic Yarn,1.47,4%,21%,69%,5%,0.09,0.45,1,0.11,Wii
Racing,Microsoft Game Studios,776,2001,2.12,1,Project Gotham Racing,1.37,29%,2%,65%,4%,0.61,0.05,1,0.09,XB
Sports,Nintendo,777,1989,2.12,1,Golf,0.83,16%,43%,39%,2%,0.33,0.92,1,0.04,GB
Sports,Take-Two Interactive,778,2011,2.11,1,NBA 2K12,1.61,13%,2%,76%,9%,0.27,0.05,1,0.18,PS3
Shooter,Take-Two Interactive,779,2009,2.11,1,Borderlands,1.2,29%,0%,57%,14%,0.62,0,1,0.29,PS3
Sports,Activision,780,2000,2.11,1,Tony Hawk's Pro Skater,1.68,19%,0%,80%,1%,0.4,0,1,0.03,N64
Sports,Konami Digital Entertainment,781,2008,2.11,1,PES 2009: Pro Evolution Soccer,0.11,64%,19%,5%,12%,1.34,0.4,1,0.26,PS3
Racing,Electronic Arts,782,2002,2.11,1,Need for Speed: Hot Pursuit 2,1.68,15%,1%,80%,4%,0.31,0.02,1,0.09,PS2
Sports,Nintendo,783,2010,2.11,1,Mario Sports Mix,0.9,21%,30%,43%,6%,0.45,0.63,1,0.13,Wii
Misc,MTV Games,784,,2.11,1,Rock Band,1.35,27%,0%,64%,9%,0.56,0,1,0.2,Wii
Action,Tecmo Koei,785,2003,2.11,1,Dynasty Warriors 4,0.63,10%,54%,30%,6%,0.21,1.13,1,0.13,PS2
Fighting,"Warner Bros, Interactive Entertainment",786,2011,2.11,1,Mortal Kombat,1.63,16%,0%,77%,7%,0.33,0,1,0.15,X360
Role-Playing,SquareSoft,787,1998,2.1,1,Parasite Eve,0.94,3%,50%,45%,2%,0.07,1.05,1,0.04,PS
Platform,THQ,788,2002,2.1,1,Scooby-Doo! Night of 100 Frights,1.17,34%,0%,56%,10%,0.72,0,1,0.22,PS2
Action,Microsoft Game Studios,789,2002,2.1,1,Project Gotham Racing (JP weekly sales),1.54,21%,2%,73%,3%,0.44,0.04,1,0.07,XB
Racing,Electronic Arts,790,2005,2.1,1,Need for Speed: Most Wanted 5-1-0,1.77,6%,1%,84%,9%,0.13,0.02,1,0.18,PSP
Shooter,Valve Software,791,2011,2.1,1,Portal 2,1.41,24%,0%,67%,8%,0.51,0.01,1,0.17,X360
Action,Capcom,792,2005,2.09,1,Devil May Cry 3: Dante's Awakening,0.99,30%,14%,47%,9%,0.63,0.29,1,0.19,PS2
Sports,ASCII Entertainment,793,1997,2.09,1,Derby Stallion,0,0%,94%,0%,7%,0,1.96,1,0.14,PS
Action,Capcom,794,2006,2.09,1,Dead Rising,1.16,31%,4%,56%,10%,0.65,0.08,1,0.2,X360
Action,THQ,795,2003,2.09,1,Finding Nemo,1.26,29%,2%,60%,9%,0.6,0.05,1,0.18,PS2
Action,Take-Two Interactive,796,2010,2.09,1,NBA 2K11,1.84,6%,0%,88%,6%,0.12,0.01,1,0.13,X360
Misc,Mindscape,797,2009,2.09,1,Wipeout: The Game,1.97,0%,0%,94%,6%,0,0,1,0.12,Wii
Simulation,Electronic Arts,798,2006,2.09,1,The Sims 2: Pets,0.92,45%,0%,44%,11%,0.94,0,1,0.22,DS
Shooter,Electronic Arts,799,2015,2.09,1,Battlefield: Hardline,0.7,44%,7%,33%,15%,0.93,0.14,1,0.32,PS4
Action,Konami Digital Entertainment,800,2010,2.09,1,Metal Gear Solid: Peace Walker,0.46,20%,46%,22%,12%,0.42,0.96,1,0.25,PSP
Role-Playing,Activision,801,2010,2.08,1,World of Warcraft: Cataclysm,1.77,15%,0%,85%,0%,0.32,0,1,0,PC
Puzzle,THQ,802,2002,2.08,1,Tetris Worlds,1.11,34%,0%,53%,13%,0.71,0,1,0.27,PS2
Racing,Electronic Arts,803,2008,2.08,1,Need For Speed: Undercover,0.63,49%,2%,30%,19%,1.02,0.05,1,0.39,PS3
Simulation,Konami Digital Entertainment,804,2007,2.08,1,Dance Dance Revolution: Hottest Party,1.36,25%,0%,65%,10%,0.52,0,1,0.2,Wii
Misc,Nintendo,805,2003,2.08,1,Mario Party 5,0.97,16%,35%,47%,3%,0.33,0.73,1,0.06,GC
Action,Take-Two Interactive,806,2010,2.08,1,Ghostbusters: The Video Game (DS Version),0.59,48%,6%,28%,17%,0.99,0.13,1,0.36,PS3
Strategy,Electronic Arts,807,1998,2.08,1,Sim Theme Park,2.04,2%,0%,98%,0%,0.04,0,1,0,PC
Strategy,Activision,808,1994,2.08,1,Warcraft: Orcs & Humans,0.89,52%,0%,43%,5%,1.08,0,1,0.11,PC
Sports,Electronic Arts,809,2010,2.08,1,Skate 3,0.79,45%,0%,38%,17%,0.94,0,1,0.35,PS3
Shooter,Take-Two Interactive,810,2002,2.07,1,Spec Ops: Airborne Commando,1.54,22%,0%,74%,4%,0.46,0,1,0.08,PS
Role-Playing,Square Enix,811,2010,2.07,1,Kingdom Hearts: Birth by Sleep,0.63,20%,36%,30%,13%,0.42,0.75,1,0.26,PSP
Fighting,THQ,812,2009,2.07,1,UFC 2009 Undisputed,1.48,19%,0%,71%,9%,0.39,0,1,0.19,X360
Role-Playing,Namco Bandai Games,813,2011,2.07,1,Dark Souls,0.75,26%,26%,36%,11%,0.54,0.54,1,0.23,PS3
Strategy,Konami Digital Entertainment,814,2001,2.07,1,Yu-Gi-Oh! The Eternal Duelist Soul,1.64,17%,0%,79%,3%,0.36,0,1,0.07,GBA
Racing,Electronic Arts,815,2007,2.06,1,Need for Speed: ProStreet,1.04,39%,0%,50%,11%,0.8,0.01,1,0.22,X360
Simulation,Electronic Arts,816,2010,2.06,1,The Sims 3,0.73,47%,1%,35%,17%,0.97,0.02,1,0.34,PS3
Action,Ubisoft,817,2010,2.06,1,Tom Clancy's Splinter Cell: Conviction,1.2,31%,2%,58%,9%,0.63,0.04,1,0.19,X360
Role-Playing,Nintendo,818,2005,2.06,1,Pokemon Mystery Dungeon: Red/Blue Rescue Team,0.71,25%,36%,34%,4%,0.52,0.74,1,0.08,GBA
Action,THQ,819,2004,2.06,1,The Incredibles,1.15,37%,2%,56%,5%,0.77,0.04,1,0.1,GBA
Racing,Namco Bandai Games,820,1998,2.06,1,R4: Ridge Racer Type 4,0.68,22%,38%,33%,6%,0.46,0.79,1,0.13,PS
Fighting,Namco Bandai Games,821,2003,2.06,1,SoulCalibur II,1.06,30%,6%,51%,12%,0.62,0.13,1,0.25,PS2
Role-Playing,Nintendo,822,2013,2.06,1,Mario & Luigi: Dream Team,0.89,28%,22%,43%,6%,0.57,0.46,1,0.13,3DS
Racing,Electronic Arts,823,2007,2.05,1,Need for Speed: ProStreet,0.73,45%,2%,36%,18%,0.92,0.04,1,0.37,PS3
Misc,Take-Two Interactive,824,2008,2.05,1,Carnival Games,1.23,31%,0%,60%,9%,0.64,0,1,0.19,DS
Sports,Take-Two Interactive,825,2013,2.05,1,NBA 2K14,1.43,16%,2%,70%,12%,0.33,0.04,1,0.25,PS3
Role-Playing,Nintendo,826,2005,2.05,1,PokÃ©mon Mystery Dungeon: Blue Rescue Team,1.16,3%,40%,57%,0%,0.06,0.83,1,0,DS
Misc,Infogrames,827,2002,2.05,1,Sonic Mega Collection,1.47,23%,2%,72%,3%,0.48,0.05,1,0.06,GC
Role-Playing,Activision,828,2013,2.05,1,Diablo III,0.71,40%,7%,35%,17%,0.83,0.15,1,0.35,PS3
Sports,Arena Entertainment,829,1992,2.05,1,NBA Jam,1.75,12%,0%,85%,2%,0.25,0,1,0.05,GEN
Racing,Microsoft Game Studios,830,2007,2.05,1,PGR4 - Project Gotham Racing 4,0.48,63%,1%,23%,12%,1.29,0.02,1,0.25,X360
Role-Playing,Square Enix,831,2009,2.04,1,Kingdom Hearts 358/2 Days,1.11,13%,26%,54%,7%,0.27,0.53,1,0.14,DS
Misc,Microsoft Game Studios,832,2011,2.04,1,Dance Central 2,1.45,21%,0%,71%,8%,0.42,0.01,1,0.16,X360
Misc,Ubisoft,833,2008,2.04,1,Rayman Raving Rabbids: TV Party,0.73,53%,0%,36%,11%,1.09,0,1,0.23,Wii
Shooter,Sony Computer Entertainment,834,2006,2.04,1,"SOCOM: U,S, Navy SEALs: Combined Assault",1.74,1%,0%,85%,14%,0.02,0,1,0.28,PS2
Action,Ubisoft,835,2005,2.04,1,Peter Jackson's King Kong: The Official Game of the Movie,0.71,50%,0%,35%,15%,1.02,0,1,0.31,PS2
Platform,Nintendo,836,2003,2.04,1,Donkey Kong Country,1.2,24%,14%,59%,3%,0.48,0.29,1,0.07,GBA
Action,Electronic Arts,837,2011,2.04,1,Need for Speed: The Run,0.58,52%,1%,28%,18%,1.06,0.03,1,0.37,PS3
Sports,Electronic Arts,838,2014,2.03,1,Madden NFL 15,1.53,12%,0%,75%,12%,0.25,0,1,0.25,PS4
Sports,Nintendo,839,1998,2.03,1,1080Â°: TenEighty Snowboarding,1.25,30%,6%,62%,2%,0.61,0.13,1,0.05,N64
Misc,Ubisoft,840,2011,2.03,1,Just Dance 3,1.47,20%,0%,72%,8%,0.4,0,1,0.16,X360
Sports,Electronic Arts,841,2003,2.03,1,NBA Live 2004,1.57,9%,0%,77%,13%,0.18,0,1,0.27,PS2
Action,Electronic Arts,842,2008,2.02,1,Dead Space,1.05,33%,0%,52%,15%,0.67,0,1,0.3,PS3
Shooter,Activision,843,2005,2.02,1,Call of Duty 2,1.81,2%,0%,90%,7%,0.05,0.01,1,0.15,X360
Sports,Electronic Arts,844,2014,2.02,1,Madden NFL 15,1.76,4%,0%,87%,8%,0.09,0,1,0.17,X360
Racing,Microsoft Game Studios,845,2012,2.02,1,Forza Horizon,0.82,49%,2%,41%,9%,0.98,0.04,1,0.18,X360
Puzzle,Midway Games,846,2007,2.01,1,TouchMaster,0.49,63%,0%,24%,12%,1.27,0,1,0.25,DS
Shooter,Ubisoft,847,2016,2.01,1,Tom Clancy's The Division,1.2,31%,0%,60%,9%,0.62,0,1,0.18,XOne
Action,"Warner Bros, Interactive Entertainment",848,2013,2,1,LEGO Marvel Super Heroes,0.77,43%,1%,39%,19%,0.85,0.01,1,0.37,PS3
Role-Playing,Nintendo,849,2012,2,1,Fire Emblem: Awakening,0.89,23%,27%,45%,7%,0.45,0.53,1,0.13,3DS
Racing,Sony Computer Entertainment,850,2014,2,1,DriveClub,0.35,66%,1%,18%,17%,1.31,0.02,1,0.33,PS4
Fighting,Nintendo,851,1993,2,1,Super Street Fighter II,0.52,8%,65%,26%,2%,0.16,1.29,1,0.03,SNES
Fighting,Midway Games,852,2008,2,1,"Mortal Kombat vs, DC Universe",1.48,15%,0%,74%,11%,0.3,0,1,0.22,PS3
Action,Activision,853,1997,1.99,1,Tenchu: Stealth Assassins,0.95,32%,14%,48%,7%,0.64,0.27,1,0.13,PS
Sports,Nintendo,854,1989,1.99,1,Tennis,0.75,15%,45%,38%,2%,0.3,0.9,1,0.04,GB
Action,Electronic Arts,855,2002,1.99,1,Harry Potter and the Chamber of Secrets,1.21,32%,3%,61%,5%,0.64,0.05,1,0.09,GBA
Action,Electronic Arts,856,2002,1.98,1,Harry Potter and the Chamber of Secrets,0.75,55%,1%,38%,6%,1.09,0.02,1,0.12,PS
Simulation,Nintendo,857,1991,1.98,1,SimCity,0.93,14%,38%,47%,2%,0.27,0.75,1,0.04,SNES
Shooter,Electronic Arts,858,2013,1.98,1,Battlefield 4,1.25,29%,0%,63%,8%,0.58,0,1,0.16,XOne
Shooter,Capcom,859,2012,1.98,1,Resident Evil 6,1.11,32%,4%,56%,8%,0.63,0.07,1,0.16,X360
Role-Playing,Electronic Arts,860,2014,1.97,1,Dragon Age: Inquisition,0.72,44%,4%,37%,16%,0.86,0.08,1,0.32,PS4
Platform,Sega,861,2010,1.97,1,Sonic Classic Collection,0.99,41%,0%,50%,9%,0.8,0,1,0.18,DS
Platform,Universal Interactive,862,2002,1.97,1,Spyro: Enter the Dragonfly,0.74,48%,0%,38%,14%,0.95,0,1,0.28,PS2
Shooter,Activision,863,2008,1.97,1,Call of Duty: World at War,1.2,30%,0%,61%,10%,0.59,0,1,0.19,Wii
Action,Capcom,864,2003,1.97,1,Devil May Cry 2,0.71,29%,26%,36%,9%,0.58,0.51,1,0.17,PS2
Racing,Electronic Arts,865,2008,1.97,1,Burnout Paradise,1.01,32%,1%,51%,15%,0.64,0.02,1,0.3,PS3
Action,Atari,866,1981,1.97,1,"E,T,: The Extra Terrestrial",1.84,6%,0%,93%,1%,0.11,0,1,0.02,2600
Shooter,Take-Two Interactive,867,2013,1.96,1,BioShock Infinite,1.22,29%,1%,62%,8%,0.57,0.02,1,0.15,X360
Sports,Sony Computer Entertainment,868,2004,1.96,1,Hot Shots Golf: Open Tee,0.5,26%,32%,26%,17%,0.5,0.63,1,0.33,PSP
Racing,Nintendo,869,1986,1.96,1,Rad Racer,1.13,19%,21%,58%,3%,0.37,0.41,1,0.05,NES
Sports,Nintendo,870,1985,1.96,1,Soccer,0.18,12%,78%,9%,1%,0.23,1.53,1,0.02,NES
Platform,Nintendo,871,2006,1.96,1,Kirby Squeak Squad,0.79,2%,54%,40%,4%,0.03,1.05,1,0.08,DS
Shooter,Ubisoft,872,2006,1.96,1,Tom Clancy's Rainbow Six: Vegas,1.09,33%,1%,56%,10%,0.65,0.02,1,0.2,X360
Shooter,Activision,873,2014,1.95,1,Destiny,1.3,25%,0%,67%,8%,0.49,0,1,0.16,X360
Racing,Vivendi Games,874,2003,1.95,1,Crash Nitro Kart,0.74,52%,0%,38%,10%,1.01,0,1,0.2,PS2
Action,Take-Two Interactive,875,2005,1.95,1,Grand Theft Auto: San Andreas,1.26,31%,0%,65%,5%,0.61,0,1,0.09,XB
Shooter,LucasArts,876,1994,1.95,1,Star Wars: Dark Forces,1.09,39%,0%,56%,5%,0.77,0,1,0.09,PC
Sports,Electronic Arts,877,2003,1.95,1,"NBA Street Vol, 2",1.69,10%,0%,87%,3%,0.2,0,1,0.06,PS2
Fighting,Electronic Arts,878,2003,1.94,1,Def Jam Vendetta,0.95,38%,0%,49%,13%,0.74,0,1,0.25,PS2
Sports,Electronic Arts,879,2008,1.94,1,FIFA Soccer 09,0.49,65%,1%,25%,9%,1.26,0.01,1,0.18,X360
Misc,Disney Interactive Studios,880,1999,1.94,1,Who wants to be a millionaire,1.94,0%,0%,100%,0%,0,0,1,0,PC
Adventure,THQ,881,2001,1.94,1,Scooby Doo and the Cyber Chase,0.59,63%,0%,30%,7%,1.23,0,1,0.13,PS
Puzzle,Nintendo,882,1989,1.94,1,Alleyway,0.96,20%,28%,49%,3%,0.38,0.55,1,0.05,GB
Fighting,Atari,883,2004,1.94,1,Dragon Ball Z: Budokai 3,1.09,8%,34%,56%,2%,0.15,0.65,1,0.04,PS2
Racing,Sony Computer Entertainment,884,1997,1.94,1,Jet Moto 2,1.41,22%,2%,73%,4%,0.42,0.03,1,0.07,PS
Shooter,Ubisoft,885,2002,1.94,1,Tom Clancy's Ghost Recon,1.42,21%,0%,73%,6%,0.4,0,1,0.12,PS2
Role-Playing,Activision,886,2004,1.93,1,X-Men Legends,1,37%,0%,52%,11%,0.72,0,1,0.21,PS2
Action,"Warner Bros, Interactive Entertainment",887,2013,1.93,1,Batman: Arkham Origins,1.15,32%,0%,60%,9%,0.61,0,1,0.17,X360
Misc,Activision,888,2008,1.93,1,Guitar Hero: World Tour,1.1,29%,0%,57%,14%,0.56,0,1,0.27,PS3
Fighting,Acclaim Entertainment,889,1993,1.93,1,Mortal Kombat II,1.48,20%,0%,77%,3%,0.39,0,1,0.06,SNES
